FECHA/HORA;Día;Suma-TR-1234-(Kw);TEMPERATURA (C);Feriado;Clientes
1/4/2021 00:00;4;1969603866;16.7;1;318
1/4/2021 01:00;4;1877348955;16.4;1;283
1/4/2021 02:00;4;1842086004;16.5;1;262
1/4/2021 03:00;4;1873070482;15.8;1;262
1/4/2021 04:00;4;1847553018;16;1;254
1/4/2021 05:00;4;1924412581;16;1;261
1/4/2021 06:00;4;1883675191;16.2;1;250
1/4/2021 07:00;4;2177187992;15.2;1;283
1/4/2021 08:00;4;2897483385;14.4;1;357
1/4/2021 09:00;4;3892387846;16.3;1;441
1/4/2021 10:00;4;4678654513;19.6;1;535
1/4/2021 11:00;4;6830355883;21.1;1;786
1/4/2021 12:00;4;8781553574;21.8;1;985
1/4/2021 13:00;4;8533941936;21.9;1;965
1/4/2021 14:00;4;8401914883;21.3;1;955
1/4/2021 15:00;4;8454254932;21.1;1;987
1/4/2021 16:00;4;8361308308;21.6;1;990
1/4/2021 17:00;4;8045063553;21.2;1;934
1/4/2021 18:00;4;8045196476;20.8;1;945
1/4/2021 19:00;4;7929511299;20.6;1;931
1/4/2021 20:00;4;7913715477;20.3;1;943
1/4/2021 21:00;4;5641871674;20;1;707
1/4/2021 22:00;4;339954127;19.9;1;486
1/4/2021 23:00;4;2541106082;19.4;1;405
2/4/2021 00:00;5;205154381;18.7;1;333
2/4/2021 01:00;5;1892789704;18.9;1;276
2/4/2021 02:00;5;1852981161;18.8;1;248
2/4/2021 03:00;5;1912871354;18.5;1;261
2/4/2021 04:00;5;1887858797;18.2;1;249
2/4/2021 05:00;5;181474251;18.4;1;244
2/4/2021 06:00;5;1796361467;18.2;1;236
2/4/2021 07:00;5;2212131566;18.1;1;277
2/4/2021 08:00;5;2605862135;17.6;1;324
2/4/2021 09:00;5;2804510546;18.4;1;349
2/4/2021 10:00;5;3548240967;20.2;1;449
2/4/2021 11:00;5;6764696941;21;1;803
2/4/2021 12:00;5;9359820576;24;1;1058
2/4/2021 13:00;5;9983346329;24.2;1;1128
2/4/2021 14:00;5;9632132607;24.4;1;1105
2/4/2021 15:00;5;9853815536;25;1;1112
2/4/2021 16:00;5;101348119;25.2;1;1167
2/4/2021 17:00;5;9761299934;25;1;1124
2/4/2021 18:00;5;9318962193;23.6;1;1066
2/4/2021 19:00;5;887226963;22;1;1025
2/4/2021 20:00;5;8238444557;21.4;1;978
2/4/2021 21:00;5;6660194139;21;1;797
2/4/2021 22:00;5;3371602224;18.2;1;476
2/4/2021 23:00;5;260982882;18.2;1;411
3/4/2021 00:00;6;2173397624;18.4;0;342
3/4/2021 01:00;6;1883906893;18.4;0;289
3/4/2021 02:00;6;1981196743;18.4;0;274
3/4/2021 03:00;6;1746861262;18.6;0;236
3/4/2021 04:00;6;1826372871;18.7;0;244
3/4/2021 05:00;6;1820840127;18.4;0;246
3/4/2021 06:00;6;1943348233;18;0;254
3/4/2021 07:00;6;3034285841;18.6;0;362
3/4/2021 08:00;6;3186505661;18.8;0;390
3/4/2021 09:00;6;3590161893;19.4;0;427
3/4/2021 10:00;6;5787182641;21.4;0;669
3/4/2021 11:00;6;9311787109;22.4;0;1032
3/4/2021 12:00;6;1074843098;24.9;0;1183
3/4/2021 13:00;6;115513866;26.1;0;1278
3/4/2021 14:00;6;1191910416;26;0;1314
3/4/2021 15:00;6;1074259295;27.2;0;1245
3/4/2021 16:00;6;1088865433;27;0;1260
3/4/2021 17:00;6;102020336;26.6;0;1178
3/4/2021 18:00;6;1002058689;25.4;0;1167
3/4/2021 19:00;6;919284893;23.8;0;1071
3/4/2021 20:00;6;8868867493;23;0;1049
3/4/2021 21:00;6;8129011555;22.1;0;976
3/4/2021 22:00;6;438965142;21.6;0;567
3/4/2021 23:00;6;2867757201;21.2;0;443
4/4/2021 00:00;7;2342933724;20.8;1;357
4/4/2021 01:00;7;1858876173;20.5;0;290
4/4/2021 02:00;7;1851024686;20.4;0;281
4/4/2021 03:00;7;1971252114;19.8;0;286
4/4/2021 04:00;7;1849295379;19.9;0;265
4/4/2021 05:00;7;1842139362;19.6;0;252
4/4/2021 06:00;7;1904088116;19.8;0;244
4/4/2021 07:00;7;1913929619;19.4;0;252
4/4/2021 08:00;7;2465315046;19.7;0;319
4/4/2021 09:00;7;271677963;20.6;0;346
4/4/2021 10:00;7;3553333595;22.5;0;449
